"gameId","year","week","homeId","homeTeam","homeAbbr","awayId","awayTeam","awayAbbr","driveIndex","playIndex","offenseId","offenseTeam","offenseAbbr","defenseId","defenseTeam","defenseAbbr","homeScore","awayScore","isScoringPlay","quarter","clock","type","down","distance","yardLine","yardsGained","endYardLine","description"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","5","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"13:20","Rush",1,10,44,-2,34,"Jordan Huff run for 8 yds to the NoIll 44 NORTHERNIL Penalty, Offensive Holding (Christian Blake) to the NoIll 34"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","6","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"13:00","Rush",1,12,34,8,42,"Marcus Childers run for 8 yds to the NoIll 42"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","7","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"12:30","Rush",2,4,42,0,42,"Marcus Jones run for no gain to the NoIll 42"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","8","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"12:01","Penalty",3,4,42,15,57,"WESTRN MICHIGAN Penalty, Defensive Pass Interference (Malik Rucker) to the WMich 43 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","9","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"11:43","Rush",1,10,57,5,62,"Jordan Huff run for 5 yds to the WMich 38"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","10","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"11:10","Rush",2,5,62,2,64,"Jordan Huff run for 2 yds to the WMich 36"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","11","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"10:40","Rush",3,3,64,4,68,"Marcus Childers run for 4 yds to the WMich 32 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","12","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"10:10","Rush",1,10,68,3,71,"Marcus Childers run for 3 yds to the WMich 29"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","13","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"9:35","Penalty",2,7,71,-15,56,"NORTHERNIL Penalty, Illegal Block (Mitchell Brinkman) to the WMich 44"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","14","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"8:59","Rush",2,22,56,8,64,"Marcus Childers run for 8 yds to the WMich 36"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","15","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"8:38","Pass Incompletion",3,14,64,0,64,"Marcus Childers pass incomplete"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","16","16","2459","N Illinois","NIU","2711","W Michigan","WMU",21,14,false,3,"8:31","Punt",4,14,64,0,91,"Josh Orne punt for 27 yds, punt out-of-bounds at the WMich 9"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","0","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"8:11","Rush",1,10,91,2,89,"Jarvion Franklin run for 2 yds to the WMich 11"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","1","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"7:50","Pass Reception",2,8,89,21,68,"Reece Goddard pass complete to Tyron Arnett for 21 yds to the WMich 32 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","2","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"7:21","Pass Reception",1,10,68,4,64,"Reece Goddard pass complete to Tyron Arnett for 4 yds to the WMich 36"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","3","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"6:58","Pass Reception",2,6,64,10,54,"Reece Goddard pass complete to Donnie Ernsberger for 10 yds to the WMich 46 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","4","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"6:25","Rush",1,10,54,-1,55,"Jarvion Franklin run for a loss of 1 yard to the WMich 45"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","5","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"5:55","Pass Incompletion",2,11,55,0,55,"Reece Goddard pass incomplete to Anton Curtis"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","6","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"5:48","Pass Reception",3,11,55,12,43,"Reece Goddard pass complete to Anton Curtis for 12 yds to the NoIll 43 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","7","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"5:22","Pass Incompletion",1,10,43,0,43,"Reece Goddard pass incomplete"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","8","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"4:48","Sack",2,10,43,-5,48,"Reece Goddard sacked by Sutton Smith for a loss of 5 yards to the NoIll 48"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","9","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"4:38","Pass Incompletion",3,15,48,0,48,"Reece Goddard pass incomplete to Jarvion Franklin"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","17","10","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"4:30","Punt",4,15,48,-4,12,"Derrick Mitchell punt for 32 yds , Trayshon Foster returns for a loss of 4 yards to the NoIll 12 Trayshon Foster fumbled, recovered by WMich Hunter Broersma"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","18","0","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"4:15","Rush",1,10,12,5,7,"Jarvion Franklin run for 5 yds to the NoIll 7"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","18","1","2711","W Michigan","WMU","2459","N Illinois","NIU",21,14,false,3,"3:30","Rush",2,5,7,0,7,"Jarvion Franklin run for no gain to the NoIll 7"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","18","2","2711","W Michigan","WMU","2459","N Illinois","NIU",21,21,true,3,"3:06","Rushing Touchdown",3,5,7,7,0,"Reece Goddard run for 7 yds for a TD, (Josh Grant KICK)"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","19","0","2711","W Michigan","WMU","2459","N Illinois","NIU",21,21,false,3,"3:00","Kickoff",3,5,65,35,36,"Derrick Mitchell kickoff for 64 yds , Chad Beebe return for 35 yds to the NoIll 36"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","19","1","2459","N Illinois","NIU","2711","W Michigan","WMU",21,21,false,3,"2:50","Fumble Recovery (Opponent)",1,10,36,12,24,"Marcus Jones run for no gain to the NoIll 24 Marcus Jones fumbled, recovered by WMich Stefan Claiborne  , return for 12 yds to the NoIll 24"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","20","0","2711","W Michigan","WMU","2459","N Illinois","NIU",21,21,false,3,"2:40","Rush",1,10,24,9,15,"D'Wayne Eskridge run for 9 yds to the NoIll 15"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","20","1","2711","W Michigan","WMU","2459","N Illinois","NIU",21,21,false,3,"2:10","Rush",2,1,15,2,13,"Jarvion Franklin run for 2 yds to the NoIll 13 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","20","2","2711","W Michigan","WMU","2459","N Illinois","NIU",21,28,true,3,"1:36","Passing Touchdown",1,10,13,13,0,"Reece Goddard pass complete to Donnie Ernsberger for 13 yds for a TD, (Josh Grant KICK)"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","0","2711","W Michigan","WMU","2459","N Illinois","NIU",21,28,false,3,"1:36","Kickoff",1,10,25,60,30,"Derrick Mitchell kickoff for 65 yds for a touchback WESTRN MICHIGAN Penalty, Defensive Offside (-5 Yards)"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","1","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,3,"1:28","Rush",1,10,30,24,54,"Jordan Huff run for 24 yds to the WMich 46 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","2","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,3,"0:47","Penalty",1,10,54,15,69,"WESTRN MICHIGAN Penalty, Defensive Pass Interference (15 Yards) to the WMich 31 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","3","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,3,"0:21","Rush",1,10,69,-3,66,"Jordan Huff run for a loss of 3 yards to the WMich 34"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","4","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,3,"0:00","End Period",0,10,0,0,66,"End of 3rd Quarter"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","5","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,4,"14:50","Rush",2,13,66,17,83,"Jordan Huff run for 17 yds to the WMich 17 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","6","2459","N Illinois","NIU","2711","W Michigan","WMU",21,28,false,4,"14:40","Pass Reception",1,10,83,3,86,"Marcus Childers pass complete to Daniel Crawford for 3 yds to the WMich 14"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","21","7","2459","N Illinois","NIU","2711","W Michigan","WMU",28,28,true,4,"14:04","Rushing Touchdown",2,7,86,14,100,"Jordan Huff run for 14 yds for a TD, (Christian Hagan KICK)"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","0","2459","N Illinois","NIU","2711","W Michigan","WMU",28,28,false,4,"14:04","Kickoff",2,7,35,2,95,"Josh Orne kickoff for 62 yds , Darius Phillips return for 2 yds to the WMich 5"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","1","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"14:00","Rush",1,10,95,0,95,"Reece Goddard run for no gain to the WMich 5"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","2","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"14:00","Penalty",2,10,95,10,85,"NORTHERNIL Penalty, Defensive Pass Interference (10 Yards) to the WMich 15 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","3","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"14:00","Pass Incompletion",1,10,85,0,85,"Reece Goddard pass incomplete"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","4","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"14:00","Rush",2,10,85,2,83,"Jarvion Franklin run for 2 yds to the WMich 17"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","5","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"13:00","Pass Reception",3,8,83,68,15,"Reece Goddard pass complete to Tyron Arnett for 68 yds to the NoIll 15 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","6","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"13:00","Pass Incompletion",1,10,15,0,15,"Reece Goddard pass incomplete"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","7","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"13:00","Rush",2,10,15,3,12,"Jarvion Franklin run for 3 yds to the NoIll 12"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","8","2711","W Michigan","WMU","2459","N Illinois","NIU",28,28,false,4,"13:00","Rush",3,7,12,1,11,"Reece Goddard run for 1 yd to the NoIll 11"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","22","9","2711","W Michigan","WMU","2459","N Illinois","NIU",28,31,true,4,"10:37","Field Goal Good",4,6,11,28,11,"Josh Grant 28 yd FG GOOD"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","23","0","2711","W Michigan","WMU","2459","N Illinois","NIU",28,31,false,4,"10:37","Kickoff",4,6,65,9,33,"Derrick Mitchell kickoff for 41 yds , D.J. Brown return for 9 yds to the NoIll 33"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","23","1","2459","N Illinois","NIU","2711","W Michigan","WMU",28,31,false,4,"10:37","Rush",1,10,33,0,33,"Jordan Huff run for no gain to the NoIll 33"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","23","2","2459","N Illinois","NIU","2711","W Michigan","WMU",28,31,false,4,"10:30","Rush",2,10,33,6,39,"Marcus Childers run for 6 yds to the NoIll 39"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","23","3","2459","N Illinois","NIU","2711","W Michigan","WMU",28,31,false,4,"10:00","Rush",3,4,39,7,46,"Jordan Huff run for 7 yds to the NoIll 46 for a 1ST down"
"400945023",2017,12,"2459","N Illinois","NIU","2711","W Michigan","WMU","23","4","2459","N Illinois","NIU","2711","W Michigan","WMU",28,31,false,4,"10:00","Pass Incompletion",1,10,46,0,46,"Marcus Childers pass incomplete"
